A\A\B421.wav,家庭军队,家庭军队。
A\B\S461.wav,诶好第一个哈二四四二好,然后我们第1个号204日。
A\B\B14.wav,你估计比如说一周你有几天会出现这种情况你估计的话,你估计你说一周有几天会出现这种情况，你估计的话。
A\A\B338.wav,请闭上你的眼睛好做这个动作,请闭上你的眼睛好。
A\A\D067.wav,他有没有晚上吵闹有斗是嘞段时间不睡觉对头不睡觉有时候,旺旺签后。
A\B\D105.wav,那那那那我给她放个视频她看一下再画可不可以啊嗯你放吧,我给他发个视频，他看一下再发可不可以呀？
A\B\G307.wav,还有一些属于工具属于交通工具类的,他有些事，交通工具类的。
A\B\Y112.wav,写好了好最后一个,我。
A\A\E147.wav,好开始皮肤皮肤儿童家庭军队硬币铁路麦子嗯蹄子,哦，开始皮肤啊，二筒家庭对，嗯，样品闹，买肉啊。
A\A\C007.wav,河流是自然的运河是人工开凿的嘛,河流是自然的，运河是人工开着的吗？
A\B\Q29.wav,是否经常觉得想哭,但是我今天觉得想哭。
A\A\A352.wav,飞机飞机我背到的乌龟乌龟没背到马马背到的,啊，嗯。
A\C\G259.wav,然后二二又到三三又到四就是这个意思这个意思然后你现在就开始这这个上面弄,老二又到三山，有道是这个意思。
A\B\E269.wav,马听到了的大腿没有,妈，听到的，打退没有？
A\B\A55.wav,现在就是您的最高学历最后是上到什么时候呢初中,就是练到最高学历，最后就上到什么时候呢？初中。
A\A\Q374.wav,管些小钱得不得行可以管得到就是,我这是关心萧乾的，可以管得管得倒就是。
A\B\Y352.wav,这个这个应该是啥子竖琴吧对对的,
A\B\B786.wav,对精神好你集中精力也没得问题哈就是集中精力做事情啊这些没得问题嗯好的,反正你集中精力也没得问题噻，就是集中精力做事情那些，嗯，好的。
A\B\B518.wav,你连嘛就按刚刚你自己的连起就行,刚刚你自己也把它连起来。
A\C\H383.wav,拿出一张我给您看一下哈,拿出一张我给你看一下嘛。
A\A\Q124.wav,斗是照给我看一下然后婆婆来我们做下一个测试,到时候照照给我看一下，然后跑来我们做下一个测试。
A\A\Q599.wav,七点七点半啊好,媳妇，去登高吗？
A\B\L23.wav,用一个一只手的两个手指头抷左右肩膀各两次并眨眨眼睛,用一个一只手的两个手指头拍左右肩膀各两次并扎扎眼睛。
A\B\R142.wav,看不到就算了那这没关系呃给她拿一张给婆婆拿一张空白的纸嘛,这个没关系。
A\B\B756.wav,那你平时啊你说你账算不好嘛你平时呐你还能不能自己出去买东西安自己出去买东西啊,啊，你到底凭啥子凭你说的上算不好吗？你平时在那里还能不能自己出去买东西，买东西啊？
A\B\D91.wav,好把这个图画出来,
A\B\D140.wav,你你你老师你会说重庆话吗呃要不我说一遍普通话您跟她重复一遍重庆话,你你要不要不我说一遍普通话，你跟他重复一遍重庆话。
A\B\E200.wav,那我们再来一遍哈还是你跟着我念哈胳膊胳膊猫猫斧子斧子床床飞机飞机耳朵耳朵狗狗锤子锤子椅子椅子轿车轿车眼睛眼睛马马刀子刀子钟钟自行车自行车,老公在那边还是你跟着问一遍哈，胳膊，胳膊猫，猫小猫儿窗光飞机，飞机二朵耳朵高够锤子，锤子一只脚元嘛，老子，老子中自行车。
A\A\Q244.wav,锯子哎她其实她认得到勒个,那个。
A\A\E275.wav,寂静女儿前额老虎黎明乞丐回声村庄角落勇气容器,姐姐，02天鹅秘密去干卫生村庄交了，用起，弄起。
A\B\D168.wav,婆婆你觉得它是滑梯还是扶手电梯呀哦是电梯,婆婆你觉得他是滑稽，还是副手点踢啊？啊？
A\C\H316.wav,谢谢你哈好不用谢哈婆婆拜拜拜拜拜拜麻烦你了哎不麻烦拜拜,谢谢你，不用谢哈，拜拜，麻烦拜拜。
A\B\B582.wav,啊我说没看到过啊好的,啊，我说没看到过这个呢。
A\C\E177.wav,那个啷个写写格桥包撒格桥包啊,你啷个写哟。
A\B\S368.wav,喷泉有出现过吗没有,喷泉又出现管吗？
A\C\C216.wav,没事有一个是一种用来加减固定的一种东西,有一个是用来加减固定的东西。
A\B\A54.wav,嗯阿姨之前上学时上到什么时候呀上学呀记不到了小的时候上学的,嗯，你之前上学上到什么时候呀？
A\A\B709.wav,那有没有没有抑郁哈那您觉得他有没有焦虑呢,嗯，那又没有没有又没有明确的他又没有焦虑呢。
A\C\F352.wav,我还是觉得我还是舒服的有些方面我还是不错的你有没有经常感觉到那种坐立不安心烦意乱呢,我还是觉得，有没有经常感觉到你不安心烦意乱哪。
A\B\R199.wav,啊这个可以了哈咱们下面呢要提升难度了哈很难哈啊咱们我说正的数字你要把它倒着说出来哈嗯,嗯，这个可以拉这么下面啊，要踢走烂路了哈，很懒哈，嗯，咱们要把它倒着说出来哈。
A\C\F332.wav,眼睛没有的勒种没有说耳朵哦好像说了一句的,没得眼睛二朵，说了一句。
A\C\F115.wav,剃须刀二胡好婆婆你刚才给我们念得哪些词你还记得到哪些,气倒2，你刚才问那些词你还记得哪些啊？
A\C\C514.wav,三九二七八嗯好哩我们接下来愣额老师你听我嘛,39278，嗯。
A\A\A366.wav,吃药记得到不吃药啊嗯会不会经常搞忘,
A\A\A012.wav,好我说三样东西哈嗯说完之后你自己说一遍然后把他记到起哈哈我又来问看你记得到不啊好好,磺酸很舒服哦。
A\C\F20.wav,你们可以把音量放到最大声然后我尽量说大声一点如果实在实在她听不清你给她重复一遍也行,你们可以把音乐放到最大声，然后我尽量说得实在听不清的话，你给他重复一遍就见效。
A\B\D198.wav,那你希望避开家庭的聚会吗家庭聚会啊就是请人吃饭那些和人出去吃饭,好，那你希望避开家庭的聚会吗？
A\A\A258.wav,五九幺七四二八五九幺七四二八,喉咙哦。
A\A\Q858.wav,棚架垃圾桶网嘞个是个啥子是个网,红椒垃圾桶王，那个是个啥子？是个王八子。
A\B\L71.wav,汽车嘞个看过了的洋葱这个嘞个没有,汽车那个，洋葱那种没有。
A\A\D376.wav,小写的一连这个大写汉字的一,小写的一年龄那个大写汉字的意义。
A\A\A274.wav,认哈勒些东西哈,
A\C\D503.wav,刀子刀子钟啥子呀钟,刀子，老子春。
A\B\E372.wav,中度就是他情绪高昂非常明显非常明显,中途就是他情绪高上非常明显，非常明显。
A\A\C560.wav,好叔叔你看着哈这上面有很多很多的数字,毛叔叔您看得很，这上面有很多很多的数字。
A\B\B795.wav,以前的事情有些记不到了有些还是记得到,有些事情有些记不到了，有些话。
A\B\Z74.wav,我下面给你看看一些物品你给我说这些是啥子,我下面给给你看一些物品哈，你龟儿说这些是啥子哈？
A\B\B67.wav,那婆婆一百减七等于好多呀,老婆100减7=好多呀。
A\A\E365.wav,还算照刚才那个规则先数字在汉字数字汉字交替进行并从小到大的顺序,
A\A\D189.wav,海洋嗯,海洋，嗯。
A\B\E271.wav,嘴唇没有树听到的,四川没有数，听到的。
A\B\G144.wav,嗯对的好的,嗯，对了，嗯，好的。
A\B\S152.wav,有一种用来装液体的物品,有一种用那一种也提到5片。
A\A\E572.wav,那你是否常为一些小事伤心,创维一些笑是伤心。
A\C\E223.wav,看到过呗你那里把那些词记下来等哈儿他等下给你写词当中有没得问你看到过没得哎你现在要对这些词有个印象就是说记记那些纸上出现的词语,看到个美女，你看到过没得爱你。
A\B\Y97.wav,好婆婆然后下面您要做几个动作给我看哈,嗯。
A\C\G30.wav,不对你现在住的十三楼啊你这层楼哦我是在那个她问的你现在住的几层楼在海带那个是十三楼啊,
A\B\S293.wav,这个题莫得,来没得？我听没得，没得。
A\A\C117.wav,那勒个海洋生物是啥子晓不晓得海洋生物是啥子问你刚刚刚刚截的,那那个海洋生物是啥子？想想，刚刚。
A\C\B85.wav,继续婆婆继续,继续，不服继续。
A\A\A124.wav,二十五减六好你在回忆哈嘞刚刚看勒些东西,
A\C\F102.wav,诶对把这个图形画出来把这个图形画出来他内个是啥子样子你就画啥子样子,把这个图片发来，喊你把那个图形画出来，看他。
A\B\E350.wav,有有的有的,哎哟，刘导。
A\B\A62.wav,哎好的哪一个是那个运动器材球拍,哎呀，那个是那个运动器材。
A\C\C625.wav,眼睛出头那就没听到马叫车,校车严禁没听到马。
A\B\G84.wav,望远镜仙人掌摇铃方向盘水管水罐剃刀二胡,是望远镜心人长，摇铃方向盘，水管水罐，提到二胡。
A\A\Q591.wav,前额前额前额你跟我读一遍前额,钱啊钱啊，你给我图片欠挨。
A\B\S484.wav,这到没有,没找到朋友。
A\C\G112.wav,这个是是个剃吗嗯嗯嗯剃剃然后啥子剃刀嗯这个,屁呀，这个时候提吗？然后还提到嗯，那个。
A\C\B47.wav,刚才我说的是多少我都忘了嗯好的好婆婆那我问你我刚才跟您说的三样东西是哪三样啊,刚才我说的是多少的哇？刚才我给你说的三样东西是那三样啊。
A\C\A120.wav,是多少是撒不是不是说前面勒个算数题之前他问了三样东西就是你重复一遍勒三样东西是哪三样东西,是多少？是不是不是不是说前面那个算术题之前他们那三样东西。
A\C\H186.wav,先指屋顶上面地板下面好的可以了,行至武帝，嗯，上面，嗯一半下面好多好多可以了。
A\B\D15.wav,晓嘞啥季,这个着急。
A\C\A1.wav,你想说啥子话耶啷个搞滴嘛撒子耶他最喜欢说的那句话感到很无助无力的感觉就是这样,啷个你说你想说啥子话呀？啷个搞的嘛，是啷个子想说的那句话，感到很无助，无力的感觉就是。
A\C\C456.wav,这个看过哩下一个容器这个没有下一个,这个看过的，这个没有。
A\A\D644.wav,嘞是二手指姆二手指姆嘞个哎嘞是三,没。
A\B\A399.wav,那个是做了个那个她是腰椎吗颈椎它是压迫吗她做了个这个但是她是去年九号做的嗯就是不是头部的手术哈,那个时候那个腰。
A\A\A337.wav,鲨鱼没得勒个没得嘞个工具你说了哩哈刚刚,
A\B\Z70.wav,皮肤铁路儿童硬币旗帜皮肤图书馆海洋麦子家庭家庭硬币图书馆,铁路去了力曲子，屁股走过来，哎呀，妹子，家庭，亲爱的。
A\A\A836.wav,在坚持一哈再记一遍水果葡萄,
A\A\B236.wav,晚上还是要起来晚上起来的厉害哟他是睡倒了,眼红红福。
A\A\Q699.wav,以前要好些他最近要嘞个些严重些,女性要好些，她最近要那个鞋严重些。
A\C\C738.wav,我在儿子那里或者在我老家一般九点十点就睡了,哦，一般讲我们就说在那儿等我的儿子，在我们老家，一般10:00就睡了。
A\C\H353.wav,岛屿没有寂静没有黎明读过吗黎明,钓鱼没有？细节没有，你读过吗？
A\A\A802.wav,海洋生物鲨鱼固定东西哩回形针,双龙。
A\B\E220.wav,这个网球拍羽毛球拍,那个王秋拍，羽毛球拍。
A\C\D94.wav,一个都想不起来嗯好那我们再看一遍哈没关系哈,一个都想不起来吗？好了我们再看一遍没关系哈。
A\A\D393.wav,自行车好现在你回忆哈我给你说了有哪些,自行车好，一哈儿我给你说的有哪些？
A\B\S369.wav,出现过了的,的。
A\B\Y204.wav,汉字到数字,
A\B\S87.wav,嗯是是剃刀哈这个卫浴用品是剃刀,梦想高。
A\A\B372.wav,有些还是记不得那我那我们我提示一下哈有一种是海洋生物,有些还是记不得，还有一种是海洋生物。
A\A\E250.wav,然后会给您看另一套单词,然后给你看一套单词。
A\B\A106.wav,啊什么我说一到二十的字对,字。
A\C\B30.wav,今年的年份是多两千零一念嘛好现在是什么季节呢,今年的年费是多少？2001年吗？现在是什么？
A\A\B488.wav,诱惑没见过,诱惑没见过。
A\A\Q193.wav,轿车轿车眼睛,吊车去眼睛。
A\B\C103.wav,我们一起来记一些又来记一些词哈这些词的话我直接给你说,我们一起来继续，还又来继续刺，哈着吃的话我，嗯我直接给你说。
A\B\E340.wav,那他有没有就是说幻觉或者妄想的症状呢就怀疑别人偷他东西有有有,那他又没有就是说幻觉或者网线。
A\A\B665.wav,就是没有看屏幕我念一遍你跟着我念一遍的那些词你还记得哪些啊,就是没有看屏幕，问你一遍应该就问你一遍那些吃，你还记得那些啊？
A\A\D516.wav,电话可以打但是他耳朵不太好所以打的少,电话可以打，但他耳朵不太好，水打得少。
A\A\D436.wav,口琴犀牛,口琴，溪流。
A\B\B655.wav,我说三个你选一个沟子鲍鱼海马海马嗯这个安,沟子鲍鱼，海马，这个。
A\C\A186.wav,画成这样的哈就是上面勒个图的一半她在画勒个椭圆,俺化成这样的哈，就是，上上面那个上面那个图得一半，然后他发了个图片。
A\B\Z332.wav,他你们对这个事情感觉到很苦恼不安难以应对苦恼噻肯定苦恼噻,他们对这个事情感觉到很苦恼不呀？那你应对了噻，肯定哭了噻。
A\C\G343.wav,那你有没有觉得总是为以前的事情感觉到很伤心呢,那是我以前的事情感觉到很伤心啊。
A\A\A807.wav,好干扰二十秒好来五十减四倒起减,光伏。
A\A\E381.wav,锤子锤子,锤子，锤子。
A\C\F159.wav,然后我会给您放十个词然后您还是尽量记一下您记得哪些就给我说哪些,然后我会给你放4个字，然后你还是尽量记一下，你记得那些就给我说那些，但是厉害是。
A\B\R100.wav,哪个季节这个是哪个季节哦,那天办，办，今天办，夏天。
A\A\E042.wav,然后画一下这个图哈,然后发一下这个图哈。
A\A\B099.wav,我们原来遇到过几回他让我们进一步检查啷个检查哎正常磁共振不明显哦,
A\C\H189.wav,好放到桌子上啊笔放到旁边婆婆笔放到旁边,我放到桌子上哈，一方到旁边，坡坡币放在旁边。
A\B\L70.wav,那你觉得看过还是没看过嘞个嘞个我觉得好像,那你觉得到底是看过还是没看过呀？我好像。
A\B\S597.wav,我让他算数他就会很生气因为我每天有空就带他下去走一走要锻炼嘛然后比如我让他算十减五等于几啊六乘二等于几啊他就要生气因为他觉得他没办法完成他就觉得很生气,他就要生气，生气，因为他。
A\A\A317.wav,好现在你在回忆一哈,姑姑，好。
A\C\B88.wav,方向盘水罐剃胡刀二胡,方向盘水罐欺负到二胡。
A\A\B243.wav,那个脚抬起使劲往上抬,哦，黄。
A\B\L299.wav,太阳太阳没说过,太阳，太阳没说过。
A\B\Y280.wav,刀子锤子对,不。
A\A\B648.wav,嗯好那你觉得你现在的记忆力有没有比以前差呢,嗯哈，那你觉得你现在带起你又没有比一天差呢。
A\A\C374.wav,七十二再减七七十二六十五,洗手7742，65。
A\B\R161.wav,这些东西恢复呢怎么说呢恢复很难真的很难它只能说,恢复了怎么说呢？恢复很烂，他只能说。
A\B\R126.wav,你那个手环你这是什么我没有戴啥子,你那个10万，这个是什么？
A\B\A82.wav,很好哪一个是做个人清洁用的剃刀,嗯，好，那一个是做个人清洁用的。
A\A\C463.wav,那你有没有经常感觉到心烦意乱这些呢,啊，那你有没有经常感觉到心烦意乱的现在。
A\C\D540.wav,没得这些感觉病人有没有跟你们说过她听到了不存在的声音啊没得,没得，这个病有没有跟你们说过，他听到了不存在的声音啦。
A\C\A180.wav,对了唉对了哈,对了，哎呀。
A\A\D238.wav,哎婆婆现在你给我说一下你叫啥子名字哎我叫林娥,哎，老婆，现在你跟我说一下你叫啥子名字呀？哦。
A\A\E055.wav,记不到然后我们你尽量记尽量记就可以,然后我们年级两个挤一下这两句就可以了。
A\A\E077.wav,好最后一组哈阿姨读一下方向盘水罐剃刀二胡,到最后一座寒夜赌一下水管儿，提刀二货。
A\C\C533.wav,唉就是一二三四五六连起画嗯嗯,好啦。
A\A\A227.wav,猫刀子,
A\B\F144.wav,一种船是独木舟金箍件是回形针,一种船是独木舟，嗯，紧固件儿是回形针。
A\C\D521.wav,你们去年发现她记忆力不好就是突然一哈不好的呀啊,他们去年发现他这里不好，就涂了一下不好的啊。
A\C\D122.wav,这个是医生用来检查医生用来检查的哟不晓得,这个是医生用来检查的，就是用检查的，不晓得。
A\C\H139.wav,额待会我们还要记一些词语但没有刚才多哈也是尽力记一下想到什么说什么,待会儿还不给我们还要记一些词语，但是没有上面的词语多哈，然后也是尽力挤一下，想到什么就说什么哈。
A\B\L260.wav,搞不清楚嘞个,搞不清楚。
A\C\C741.wav,有醒来改个小便就一哈儿就又睡着了,友友。
A\C\C668.wav,有有有哦冉冉里头问一哈高老师在不把高老师喊过来嘛后头有些问题要他一起来一起回答好,一咬咬，啊。
A\B\A294.wav,这个这个是医生用的对您看它是听诊器啊还是血压器呀它是听诊器不是血压器对好的,是。
A\B\E86.wav,好我给你我开始给你放了放了要记一下哦我还是要问你的挨个念一下哈,好，我给你给你开始发了，我要去一下，我还是要问你哒，挨个念一下哈。
A\B\A392.wav,好的那她晚上会不会说胡话呀胡话倒没说,他们晚上会不会说胡话呀？
A\B\S657.wav,还有哪些猫盒子,还有哪些？
A\B\S410.wav,大二到小二,8262612136。
A\A\E229.wav,照着他画哦看到了,早日弹簧，嗯。
A\A\A201.wav,斗是没画箭头等哈把箭头画起,嗯，不。
A\A\E282.wav,会议没有容器有,回没有？弄起哟。
A\B\H77.wav,水管子哪一个是乐器二胡,水管，各式乐器。
A\C\D166.wav,好邮票应该贴在哪里也邮票哦,邮票应该贴到哪里啊？牛批。
A\A\C050.wav,唉第一个皮球皮球诶皮球,嗯，第1个皮球，皮球，皮球。
A\B\B746.wav,你出去反正你出去那如果你出去耍你自己会不会就是你自己买东西啊开车这些都不得行,那你说如果出去耍，你出去耍你自己会不会就是，啊，叔叔你直接买东西啊，开车那些得不得行。
A\C\E109.wav,测量工具刚刚看的直尺噻用来看东西的是哪一个呀用来看东西望远镜婴儿用品是哪一个,这两工具刚刚儿看的，嗯，用来看东西的是哪个呀？用婴儿用品是哪一个？
A\B\A202.wav,好的这个读过没有角落读过了的角落读过没有角落读过了好,嗯。
A\C\H141.wav,好第一个家庭,第1个挺好听，嗯。
A\B\A146.wav,没事没事我们再看一遍再记一次哈好来还是读一遍记一遍,那上面说我们在找卡一边再聚一次哈啊，那。
A\A\Q098.wav,比如说你觉得你这个生活现在你过的这种生活有没得觉得哎呀啷个觉得我现在这个生活过得一点意义都没得有嘞种时候没得哎,我。
A\B\L211.wav,那我再给你念一遍注意记胳膊胳膊猫猫,那我再给你念一遍阿祝一句，给不？对不？猫猫。
A\A\B123.wav,我我有我在家里有个社区医生保健医生专门,我。
A\C\E217.wav,乞丐看到过的噻看到过的警报看到过那个事没得看到过的呀好的还没完呢还要啷个完了回声回答完回声看到过没得那个词,去接看到还没完呢。
A\C\A96.wav,是四川的吗安徽的吗还是北京的呀,你四川的吗？安徽的吗？还是北京的呀？
A\C\F89.wav,随便你写想写啥子写啥子写一句话都阔以你想写啥子写啥子我好像字记不到了呀,随便联系你想些啥子写啥子写一句话。
A\A\Q449.wav,我刚刚给你说的三样东西是啥子你还记得到不我刚刚给你说了三样东西喊你记到那是啥子,我刚刚跟你说的三样东西是啥子？你还记得到不？那是啥子？
A\A\B616.wav,您觉得他像口琴还是像冷风机口琴,您觉得它像寇青还是想冷风机口？
A\C\D176.wav,她说对了对了嗯哈今天几点钟也现在几点钟也,他说对了吗？今天几点钟啊？现在几点钟啊？
A\B\B604.wav,就活动不协调或者说你感觉身体不受控制啊或者说奇怪的感觉啊这些有没得没得没得哈没得啥子内些感觉好的,有活动不协调还说感觉你的感觉就是身体有些不受控制啊，还说奇怪的感觉啊，这些有没得，没得，没得。
A\B\Y77.wav,这个呢铅笔嗯,嗯。
A\B\G188.wav,就十一点过十分十一点过十分,有人给我10分，10分。
A\C\G360.wav,家属我想问一下好你说婆婆这个记忆不好是慢慢来的还是突然一下子就不好的,我想问一下，还是突然一下子就不好得了。
A\A\Q319.wav,然后摩托车听到过没得,然后摩托车听到过没得？
A\A\A073.wav,厨房哩一部分厨房烟囱,痛苦。
A\B\Y313.wav,好那我们继续进行哈婆婆这个图片看得到不,
A\B\S611.wav,那叔叔自己有没有说自己身上哪儿难受或者说是,叔叔自己用的，就是说他自己身上的烂手这些用。
A\A\D593.wav,球拍球拍,
A\B\B414.wav,就是开字要放在词语的前头,开始要放到词语的前头，哈。
A\A\C031.wav,水啥子水啥水水位嗯对,水位，嗯，对。
A\C\H136.wav,是小孩吃的啊植物不是食物啊婆婆植物,是小孩儿吃的啊，植物不是食物哈，怕植物。
A\A\A252.wav,哦刀,我。
A\A\C408.wav,这个家庭诶硬币硬币诶这个节目,这个家庭硬币，冥币，啊，这个戒了。
A\C\F448.wav,寂寞不是里寂静好婆婆你听我给你解释我们现在这个是这个项目要怎么做哈就我我会给您放十二个词,记梦，不是的寂静，阿伯说你现在给我听，我听我给你借时我没听到这个。
A\B\L16.wav,然后再做几个动作哈听我说哈,然后做几个动作哈，听我说哈。
A\B\R253.wav,啊食物做饭现在不行了就是呃热个菜饭菜什么的怎么样吧热一下那些可,是我做饭现在不行啦，就是，什么都怎么样嘛？一下。
A\A\C464.wav,啥子啊就是有没有感觉到心烦意乱这种基本上没得,啥子啊？只是又没有感觉到心烦意乱的脚，基本上没得。
A\B\A237.wav,六二九反过来说九二六,62就反过来说。
A\C\E24.wav,做算术题一百减七等于好多,你100减7等于好多。
A\A\D418.wav,床哎嗯,团爱。
A\A\B089.wav,不是淋巴结也有吗不是他嘛不是他嘛,
A\C\G315.wav,手风琴手风琴这个,秀峰泉，受封情这个人。
A\C\F125.wav,仙人掌洋芋嗯都是东西这些东西喊你记到,而仙人掌摇点儿，而那些都是东西是一样东西喊你记倒。
A\A\Q201.wav,婆婆婆婆有没有查出过一些脑血管的疾病以前有没有,哦，那我婆婆有没有查出些脑血管的疾病呢？赢钱没得？
A\A\E197.wav,好然后家属把一张纸和一个笔摆在阿姨面前,然后家属带上纸和一个b在阿姨面前。
A\C\A70.wav,嗯她说狮子会死是吗唉,而是这个四川话。
A\A\C210.wav,八十六减七七十九嗯再减,84657749，嗯，再见。
A\C\E71.wav,哪一个是测量的工具测量测量的工具啊直尺撒哪一个是植物,哪一个是测量的工具？哪一个是植物？
A\C\F328.wav,有狗,有够。
A\A\B510.wav,女儿有勇气有,女儿有，勇气有。
A\A\E335.wav,四九六八四九六八八六四九,496849688649。
A\C\F455.wav,你那些词是你开头看到过的哪些是你没看到过的,嗯，你哪些词是你开始看到过的？哪些事是你开始没有看到过的？
A\A\A781.wav,就是那个老师提醒你喊你记忆的那四张图片上的东西,么？
A\A\C507.wav,回声见过直尺没见过业务没见过,卫生间不支持，没见过，也不没见过。
A\C\B137.wav,啊啥子啊这是一种戴在脸上的东西脸谱脸谱,啊，咋子？
A\B\H132.wav,嗯海洋生物是啥子安海洋生物,啥子啊？嗯，海洋生物。
A\A\A233.wav,自行车马钟刀子斧子哎锤子迈榔头哟,
A\B\H88.wav,刚刚我给你看的哪些是运动器材球拍,刚才我给你看哪天。
A\B\A256.wav,对跟刚才一样的规则然后这个是需要计时来连的开始连了跟我说一声我这边计时哦,因为刚刚才一样的规则，我这边做事。
A\A\B418.wav,儿童硬币,儿童硬币。
A\A\Q467.wav,用右手拿这张纸在双手把它对折家属把这个镜头拿远一点我看他的动作哈,用右手那张纸，再双手把它对折，只是把那个镜头拿远一点，要看他的动作哈。
A\C\C158.wav,也想不起没事没事我一个个跟你说嘛你看有一个是用来看东西哩物品,看东西的物品。
A\C\C716.wav,平时过都听不到你的话我们共享关了应该会好一点儿,其实喝酒没找你的话。
A\C\B324.wav,好了吧好了哈嗯,老板。
A\B\F172.wav,嗯对头然后卫生用品呢男士的卫生用品,嗯，对头，然后卫生用品，男士的卫生用品。
A\B\A338.wav,那您大部分时间感觉到幸福吗幸福呀有吃有穿·两个娃儿都乖,那你哪部分的时间赶得到幸福吗？娃儿。
A\C\H175.wav,这是听诊器很好婆婆这个呢,视听整起，嗯，好好。
A\B\E202.wav,胳膊嗯,胳膊。
A\A\Q453.wav,好你现在跟我重复一句话哈四十四只石狮子,好，你现在给我重复一句话吗？40只，40只。
A\A\A001.wav,叶天明什么文化嘞文化啊中专啊初中哎,嗯，姆，有人吗？
A\B\A358.wav,哦好那如果你们已经做好了的话她自己可以热一下吗可以热可以热,如果你们已经做了好的话，他直接可以揉一下嘛。
A\C\B334.wav,钟自行车自行车好婆婆现在记得哪些词呢,中自行车，自行车，放心。
A\B\G215.wav,好可以了做完了,嗯，可以了，做完了。
A\B\Y406.wav,大于啥子就买三个东西以上都可以自己买哈,
A\C\D512.wav,床飞机耳朵狗锤子,床，飞机耳朵，狗，锤子。
A\C\G257.wav,一一改成二哈不是你没懂到这个意思是这个意思你看到我看到我这面,1，你就改成2。
A\B\Y21.wav,鲨鱼嗯回形针嗯,
A\B\G191.wav,看得到吗看得到,看到吗？
A\C\A193.wav,数字广度试一下嘛,数字广度吃一下嘛。
A\C\H455.wav,好你先回忆一下吧刚才我给您读过一些词语您还有印象吗,你想想会一下发刚才我给你度过了一些词语，你还有影响吗？
A\A\B473.wav,好家属待会儿拍个照给我就可以了哈哦好的,待会儿拍个照给我就可以了哈。
A\C\F335.wav,公共汽车公共汽车床床轿车,公共汽车，公共汽车装，说。
A\B\Y116.wav,嗯现在您再画一个圆形的钟表,嗯。
A\C\H8.wav,今年哪二零,几年了，嗯。
A\A\C145.wav,诶别东西的紧箍颈别东西用的,嗯，别东西的紧固件儿。
A\C\F672.wav,包包内个是,扫把。
A\A\A549.wav,我们相当于用一根线这个笔就是一根线这根线从一开始串先串小写的在连大写的,是。
A\A\A467.wav,画的还阔以哎画起了哟,好啊。
A\A\Q065.wav,哦那他是不是比如说洗澡那些东西比如说衣服啊嘞些东西晓不晓得国人去拿哎还是要你们帮他准备好,
A\C\C102.wav,唉好你照到勒个字上写的来做唉请闭上你滴眼睛,智商请闭上。
A\B\S524.wav,没有没有没有这个没有,没有没有，没有，没有，没有。
A\B\D199.wav,哦那些我就晓得罗说的喜不喜欢去啷个不喜欢去啊,我那是我的。
A\B\B516.wav,没有事婆婆,还没有。
A\B\S232.wav,嗯家属把那个纸放在中间然后把笔放在另一边,嗯，麻烦家属把那个纸放在中间好不好？然后一边。
A\C\F599.wav,听明白没有就是一个阿拉伯数字后面有个大写的一,你明白没有？连一个阿拉伯数字，连一个大写的页。
A\A\A207.wav,跟刚刚一样里哈这里还有插进来汉字一二三四他都是要求一个小写哩一个大写哩小一连到大一然后再连小二在连大二哦,同乐么包。
A\B\C137.wav,第一个是胳膊猫胡子,第1个是胳膊，猫胡子。
A\B\Y124.wav,好然后婆婆画完了吗婆婆这么快吗您举到屏幕上给我看一眼,
A\C\E250.wav,老汉儿看到勒个词没得刚刚看到勒个词没得呀啊,没得。
A\A\Q752.wav,上街买东西他自己独立上街买东西得不得行得行,我现在上街买东西，她自己独立上街买东西得不得行，得行。
A\C\H179.wav,想不起来了食指哦食指这个呢中指,想不起来了，嗯，总之。
A\B\C138.wav,床飞机耳朵,床，飞机，耳朵。
A\C\B364.wav,好这个呢这个是个网球拍好这个呢,那这个喃，王求。
A\A\B660.wav,就是念过的那些词你还记得多少回想一下,就是年过的那些吃，又要掉了。
A\A\E482.wav,马读过吗,阿麻度哥吗？
A\A\B654.wav,充满阳光哦有没有充满阳光哈那你有没有为一些小的事情伤心呢,去买阳光咯，那你有没有为一些小的事情伤心啦？
A\C\C18.wav,最近一个月嘛就是半个小时睡不着有没有勒种情况,最近一个月嘛。
A\A\C045.wav,哦哪条街晓不晓得,嗯，那条街晓不晓得？
A\A\E358.wav,您看这数字的一开始然后先数字后汉字数字交替所以数字的一要连汉字的一再连数字二下面再连什么连三啊,这个数字一开始，然后。
A\A\Q316.wav,刀子你听到过没得刀子你刚刚听到说过没得刀子听到过没得,刀子，你是哪个没得？没得。
A\B\D187.wav,那你觉得你的记忆里有没有下降呢诶就是说有点下降诶就是有点下降哈,那你觉得你的记忆力又没有瞎讲啊？
A\A\Q295.wav,他是我给你说三个名字嘛你觉得是哪一个锅铲钳子独木舟,她是我给你说三个名字嘛，你就是一个锅铲儿，钱纸独木舟。
A\B\B375.wav,钟嘛还有钟嘛嗯对的,中南海有种爱。
A\B\R255.wav,家务什么的基本上比如洗碗左右那些些东西是吧唉唉唉可以,江湖上那些东西。
A\A\B240.wav,是不是乏力有没有力就是没有力脚抬高给我看一下他抬得起来,幸福木木。
